name,year_of_release,genre,publisher,global_sales,console,developer
Super Mario Sunshine,2002,Platform,Nintendo,6.31,GC,Nintendo
Street Fighter II: The World Warrior,1992,Fighting,Capcom,6.3,SNES,Unknown
World of Warcraft,2004,Role-Playing,Activision,6.29,PC,Blizzard Entertainment
Driver,1999,Action-Adventure,GT Interactive,6.27,PS,Reflections Interactive
Call of Duty: WWII,2017,Shooter,Activision,6.23,XOne,Unknown
Gears of War 3,2011,Shooter,Microsoft Game Studios,6.21,X360,Epic Games
Kinect Sports,2010,Sports,Microsoft Game Studios,6.19,X360,Rare Ltd.
God of War (PS4),2018,Action-Adventure,Sony Interactive Entertainment,6.15,PS4,Unknown
God of War (2018),2018,Action-Adventure,Sony Interactive Entertainment,6.15,PS4,SIE Santa Monica Studio
Gears of War,2006,Shooter,Microsoft Game Studios,6.09,X360,Epic Games
Metal Gear Solid 2: Sons of Liberty,2001,Action-Adventure,Konami Digital Entertainment,6.05,PS2,KCEJ
Sonic the Hedgehog 2,1992,Platform,Sega,6.03,GEN,Unknown
Metal Gear Solid,1998,Action-Adventure,Konami Digital Entertainment,6.03,PS,KCEJ
Metal Gear Solid 4: Guns of the Patriots,2008,Action-Adventure,Konami Digital Entertainment,5.99,PS3,Kojima Productions
Final Fantasy XII,2006,Role-Playing,Square Enix,5.95,PS2,Square Enix
The Last of Us,2013,Action-Adventure,Sony Computer Entertainment Europe,5.87,PS3,Naughty Dog
Horizon: Zero Dawn,2017,Action-Adventure,Sony Interactive Entertainment,5.82,PS4,Unknown
LittleBigPlanet,2008,Platform,Sony Computer Entertainment,5.82,PS3,"SCE/WWS, Media Molecule"
Resident Evil 2,1998,Action-Adventure,Virgin Interactive,5.82,PS,Capcom
Dragon Quest IX: Sentinels of the Starry Skies,2009,Role-Playing,Nintendo,5.78,DS,Level 5
Red Dead Redemption 2,2018,Action-Adventure,Rockstar Games,5.77,XOne,Unknown
Destiny,2014,Shooter,Activision,5.76,PS4,Unknown
Tekken 2,1996,Fighting,Sony Computer Entertainment,5.74,PS,Namco
Uncharted: The Nathan Drake Collection,2015,Action-Adventure,Sony Computer Entertainment,5.7,PS4,Unknown
LEGO Star Wars: The Complete Saga,2007,Action-Adventure,LucasArts,5.64,Wii,Traveller's Tales
Cooking Mama,2006,Simulation,505 Games,5.63,DS,Taito Corporation
Tetris,1988,Puzzle,Nintendo,5.58,NES,Unknown
Super Smash Bros.,1999,Fighting,Nintendo,5.55,N64,Unknown
Assassin's Creed II,2009,Action-Adventure,Ubisoft,5.55,PS3,Ubisoft Montreal
Assassin's Creed,2007,Action-Adventure,Ubisoft,5.54,X360,Ubisoft Montreal
Forza Motorsport 3,2009,Racing,Microsoft Game Studios,5.49,X360,Turn 10
Super Mario Advance,2001,Platform,Nintendo,5.49,GBA,Nintendo
Monster Hunter Freedom Unite,2008,Role-Playing,Capcom,5.48,PSP,Capcom
Batman: Arkham City,2011,Action-Adventure,Warner Bros. Interactive Entertainment,5.48,PS3,Rocksteady Studios
Mario Kart: Super Circuit,2001,Racing,Nintendo,5.47,GBA,Intelligent Systems
Super Mario World,2001,Platform,Nintendo,5.46,GBA,Unknown
Pokemon Stadium,1999,Strategy,Nintendo,5.45,N64,Unknown
MineCraft,2014,Other,Microsoft Studios,5.43,XOne,Unknown
Crash Bandicoot: The Wrath of Cortex,2001,Platform,Universal Interactive,5.42,PS2,Traveller's Tales
The Witcher 3: Wild Hunt,2015,Role-Playing,Namco Bandai Games,5.39,PS4,Unknown
Call of Duty: World at War,2008,Shooter,Activision,5.39,PS3,Treyarch
Uncharted 4: A Thief's End,2016,Shooter,Sony Computer Entertainment,5.38,PS4,Naughty Dog
Dr. Mario,1989,Puzzle,Nintendo,5.34,GB,Unknown
Final Fantasy XIII,2009,Role-Playing,Square Enix,5.33,PS3,Square Enix
Pokemon Pinball,1999,Other,Nintendo,5.31,GB,Unknown
Final Fantasy IX,2000,Role-Playing,SquareSoft,5.3,PS,SquareSoft
Assassin's Creed III,2012,Action-Adventure,Ubisoft,5.29,X360,Ubisoft
Final Fantasy X-2,2003,Role-Playing,Electronic Arts,5.29,PS2,SquareSoft
Donkey Kong 64,1999,Platform,Nintendo,5.27,N64,Unknown
Minecraft,2014,Other,Sony Computer Entertainment,5.26,PS3,Unknown
Assassin's Creed II,2009,Action-Adventure,Ubisoft,5.26,X360,Ubisoft Montreal
Tomb Raider II,1997,Action-Adventure,Eidos Interactive,5.24,PS,Core Design Ltd.
Madden NFL 2004,Unknown,Sports,Electronic Arts,5.23,PS2,EA Tiburon
Tomodachi Life,2013,Simulation,Nintendo,5.23,3DS,Unknown
Call of Duty: Advanced Warfare,2014,Shooter,Activision,5.22,XOne,Unknown
New Super Mario Bros. U,2012,Platform,Nintendo,5.22,WiiU,Nintendo
Dragon Quest VIII: Journey of the Cursed King,2004,Role-Playing,Square Enix,5.21,PS2,Level 5
Super Mario Bros. 3,2003,Platform,Nintendo,5.2,GBA,Unknown
Professor Layton and the Curious Village,2007,Puzzle,Nintendo,5.19,DS,Level 5
Super Mario Land 3: Wario Land,1994,Platform,Nintendo,5.19,GB,Unknown
FIFA Soccer 13,2012,Action-Adventure,Electronic Arts,5.16,X360,Electronic Arts
Donkey Kong Country 2: Diddy's Kong Quest,1995,Platform,Nintendo,5.15,SNES,Unknown
Diablo III,2012,Role-Playing,Activision,5.14,PC,Blizzard Entertainment
Battlefield 1,2016,Shooter,Electronic Arts,5.13,XOne,Unknown
Medal of Honor: Rising Sun,2003,Shooter,Electronic Arts,5.13,PS2,EA LA
Kirby's Dream Land,1992,Platform,Nintendo,5.13,GB,Unknown
Microsoft Flight Simulator,1996,Simulation,Microsoft Game Studios,5.12,PC,Unknown
Guitar Hero II,2006,Other,RedOctane,5.12,PS2,Harmonix Music Systems
FIFA 13,2012,Sports,EA Sports,5.11,X360,EA Canada
Fable III,2010,Role-Playing,Microsoft Game Studios,5.1,X360,Lionhead Studios
Mario & Sonic at the Olympic Games,2008,Sports,Sega,5.09,DS,Unknown
Resident Evil 5,2009,Action-Adventure,Capcom,5.09,PS3,Capcom
The Legend of Zelda: Phantom Hourglass,2007,Action-Adventure,Nintendo,5.08,DS,Nintendo
Final Fantasy XV,2016,Role-Playing,Square Enix,5.07,PS4,Unknown
Super Mario Bros.,1999,Platform,Nintendo,5.07,GB,Unknown
FIFA Soccer 11,2010,Sports,Electronic Arts,5.07,PS3,EA Sports
Resident Evil,1996,Action-Adventure,Virgin Interactive,5.05,PS,Capcom
Fallout 4,2015,Role-Playing,Bethesda Softworks,5.03,XOne,Unknown
Grand Theft Auto: Vice City Stories,2006,Action-Adventure,Take-Two Interactive,5.03,PSP,Rockstar Leeds
Tony Hawk's Pro Skater,1999,Sports,Activision,5.02,PS,Neversoft Entertainment
Warzone 2100,1999,Strategy,Eidos Interactive,5.01,PS,Unknown
Spyro the Dragon,1998,Platform,Sony Computer Entertainment,5,PS,Unknown
Guitar Hero III: Legends of Rock,2007,Other,Activision,4.98,PS2,"Neversoft Entertainment, BudCat"
Link's Crossbow Training,2007,Shooter,Nintendo,4.98,Wii,Nintendo
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,2007,Role-Playing,Nintendo,4.93,DS,Unknown
Fallout 3,2008,Role-Playing,Bethesda Softworks,4.93,X360,Bethesda Game Studios
Halo 5: Guardians,2015,Shooter,Microsoft Studios,4.92,XOne,Unknown
Uncharted: Drake's Fortune,2007,Action-Adventure,Sony Computer Entertainment,4.92,PS3,"Naughty Dog, SCE/WWS"
Madden NFL 06,2005,Sports,Electronic Arts,4.91,PS2,EA Sports
Diddy Kong Racing,1997,Racing,Nintendo,4.88,N64,Unknown
Monster Hunter Freedom 3,2010,Role-Playing,Capcom,4.87,PSP,Unknown
Super Smash Bros. for Wii U and 3DS,2014,Fighting,Nintendo,4.87,WiiU,Unknown
Dr. Mario,1990,Puzzle,Nintendo,4.85,NES,Unknown
Call of Duty: Black Ops IIII,2018,Shooter,Activision,4.85,XOne,Treyarch
StarCraft II: Wings of Liberty,2010,Strategy,Activision,4.84,PC,Blizzard Entertainment
Crash Bandicoot N. Sane Trilogy,2017,Platform,Activision,4.83,PS4,Unknown
Assassin's Creed,2007,Action-Adventure,Ubisoft,4.82,PS3,Ubisoft Montreal
God of War III,2010,Action-Adventure,Sony Computer Entertainment,4.8,PS3,SCE Santa Monica
Call of Duty: Infinite Warfare,2016,Shooter,Activision,4.79,XOne,Unknown
Crash Team Racing,1999,Racing,Sony Computer Entertainment,4.79,PS,Naughty Dog
LEGO Star Wars: The Complete Saga,2007,Action-Adventure,LucasArts,4.76,DS,TT Fusion
Driver 2,2000,Action-Adventure,Atari,4.73,PS,Reflections Interactive
Batman: Arkham City,2011,Action-Adventure,Warner Bros. Interactive Entertainment,4.73,X360,Rocksteady Studios
The Simpsons: Hit & Run,2003,Racing,Vivendi Games,4.7,PS2,Unknown
Tony Hawk's Pro Skater 2,2000,Sports,Activision,4.68,PS,Neversoft Entertainment
Monster Hunter: World,2018,Action-Adventure,Capcom,4.67,PS4,Unknown
The Lord of the Rings: The Two Towers,2002,Action-Adventure,Electronic Arts,4.67,PS2,Stormfront Studios
Tomb Raider,1996,Action-Adventure,Eidos Interactive,4.63,PS,Core Design Ltd.
Animal Crossing: City Folk,2008,Simulation,Nintendo,4.62,Wii,Nintendo
The Legend of Zelda: A Link to the Past,1991,Action-Adventure,Nintendo,4.61,SNES,Unknown
The Legend of Zelda: The Wind Waker,2002,Action-Adventure,Nintendo,4.6,GC,Nintendo
Guitar Hero III: Legends of Rock,2007,Other,Activision,4.6,Wii,Vicarious Visions
Luigi's Mansion: Dark Moon,2013,Action-Adventure,Nintendo,4.59,3DS,Next Level Games
Forza Motorsport 4,2011,Racing,Microsoft Game Studios,4.57,X360,Turn 10
"Pokemon: Let's Go, Pikachu!",2018,Role-Playing,Nintendo,4.57,NS,Game Freak
Overwatch,2016,Shooter,Blizzard Entertainment,4.54,PS4,Unknown
Star Wars Battlefront II (2017),2017,Shooter,Electronic Arts,4.53,PS4,Unknown
Mario & Sonic at the Olympic Winter Games,2009,Sports,Sega,4.53,Wii,Unknown
Madden NFL 2005,2004,Sports,Electronic Arts,4.53,PS2,EA Tiburon
Guitar Hero III: Legends of Rock,2007,Other,Activision,4.53,X360,Neversoft Entertainment
Pitfall!,1981,Platform,Activision,4.5,2600,Unknown
Madden NFL 07,2006,Sports,Electronic Arts,4.49,PS2,EA Sports
Spider-Man: The Movie,2002,Action-Adventure,Activision,4.48,PS2,Treyarch
Dragon Quest VII: Warriors of Eden,2000,Role-Playing,Enix Corporation,4.47,PS,Unknown
God of War,2005,Action-Adventure,Sony Computer Entertainment,4.45,PS2,SCE Santa Monica
Splatoon,2015,Shooter,Nintendo,4.43,WiiU,Nintendo
Nintendo Land,2012,Other,Nintendo,4.42,WiiU,Nintendo
Tony Hawk's Pro Skater 3,2001,Sports,Activision,4.41,PS2,Neversoft Entertainment
Winning Eleven: Pro Evolution Soccer 2007,2006,Sports,Konami Digital Entertainment,4.39,PS2,Konami
The Elder Scrolls IV: Oblivion,2006,Role-Playing,Take-Two Interactive,4.38,X360,Bethesda Softworks
Zelda II: The Adventure of Link,1987,Action-Adventure,Nintendo,4.38,NES,Unknown
Tom Clancy's The Division,2016,Shooter,Ubisoft,4.37,PS4,Unknown
Need for Speed: Most Wanted,2005,Racing,Electronic Arts,4.37,PS2,EA Canada
Tom Clancy's Rainbow Six: Siege,2015,Shooter,Ubisoft,4.36,PS4,Unknown
Michael Jackson: The Experience,2010,Other,Ubisoft,4.36,Wii,"Ubisoft Paris, Ubisoft Montpellier"
Call of Duty: Advanced Warfare,2014,Shooter,Activision,4.36,PS3,High Moon Studios
Resistance: Fall of Man,2006,Shooter,Sony Computer Entertainment,4.34,PS3,Insomniac Games
Sonic the Hedgehog,1991,Platform,Sega,4.34,GEN,Unknown
Kingdom Hearts II,2005,Role-Playing,Square Enix,4.33,PS2,Square Enix
The Legend of Zelda: Ocarina of Time,2011,Action-Adventure,Nintendo,4.33,3DS,Unknown
Watch Dogs,2014,Action-Adventure,Ubisoft,4.32,PS4,Unknown
Super Mario 3D World,2013,Platform,Nintendo,4.32,WiiU,Nintendo
Minecraft,2014,Other,Sony Computer Entertainment Europe,4.32,PS4,Unknown
Asteroids,1980,Shooter,Atari,4.31,2600,Unknown
Call of Duty: Advanced Warfare,2014,Shooter,Activision,4.29,X360,High Moon Studios
FIFA 15,2014,Sports,Electronic Arts,4.28,PS3,EA Sports
Fable II,2008,Role-Playing,Microsoft Game Studios,4.27,X360,Lionhead Studios
Namco Museum,2001,Other,Namco Bandai Games,4.24,GBA,Mass Media
Batman: Arkham Asylum,2009,Action-Adventure,Eidos Interactive,4.23,PS3,Rocksteady Studios
Metal Gear Solid 3: Snake Eater,2004,Action-Adventure,Konami Digital Entertainment,4.23,PS2,KCEJ
Assassin's Creed: Revelations,2011,Action-Adventure,Ubisoft,4.22,PS3,Ubisoft Montreal
FIFA 14,2013,Sports,Electronic Arts,4.22,X360,EA Canada
Daxter,2006,Platform,Sony Computer Entertainment,4.21,PSP,Ready at Dawn
Warcraft II: Tides of Darkness,1995,Strategy,Activision,4.21,PC,Unknown
FIFA Soccer 06,2005,Sports,Electronic Arts,4.21,PS2,EA Canada
EyeToy Play,2003,Other,Sony Computer Entertainment,4.2,PS2,"SCEE, Zoe Mode"
Gran Turismo 5 Prologue,2007,Racing,Sony Computer Entertainment,4.19,PS3,Polyphony Digital
Assassin's Creed: Revelations,2011,Action-Adventure,Ubisoft,4.19,X360,Ubisoft Montreal
FIFA 12,2011,Sports,Electronic Arts,4.18,X360,Unknown
FIFA Soccer 12,2011,Sports,EA Sports,4.18,X360,EA Canada
Call of Duty: Ghosts,2013,Shooter,Activision,4.17,PS4,Unknown
Teenage Mutant Ninja Turtles,1989,Action-Adventure,Palcom,4.17,NES,Unknown
Street Fighter IV,2009,Fighting,Capcom,4.16,PS3,Capcom
Excitebike,1984,Racing,Nintendo,4.16,NES,Unknown
Frogger,1997,Action-Adventure,Hasbro Interactive,4.16,PS,Unknown
Star Wars Battlefront (2015),2015,Shooter,Electronic Arts,4.15,XOne,Unknown
Assassin's Creed: Unity,2014,Action-Adventure,Ubisoft,4.14,PS4,Unknown
Destiny 2,2017,Shooter,Activision,4.14,PS4,Unknown
Madden NFL 2003,2002,Sports,Electronic Arts,4.14,PS2,EA Sports
Half-Life,1997,Shooter,Vivendi Games,4.12,PC,Valve Software
Super Mario World 2: Yoshi's Island,1995,Platform,Nintendo,4.12,SNES,Unknown
Batman: Arkham Knight,2015,Action-Adventure,Warner Bros. Interactive,4.11,PS4,Unknown
FIFA Soccer 07,2006,Sports,Electronic Arts,4.11,PS2,Unknown
FIFA 07 Soccer,2006,Sports,EA Sports,4.11,PS2,Team Fusion
Street Fighter II Turbo,1992,Fighting,Capcom,4.1,SNES,Unknown
World of Warcraft: The Burning Crusade,2007,Role-Playing,Activision,4.09,PC,Blizzard Entertainment
